Hour,Standard_Beds_Occupied,ICU_Beds_Occupied,Standard_Capacity_Breach,ICU_Capacity_Breach
0,33,5,False,False
1,64,13,False,False
2,87,20,False,False
3,100,28,False,False
4,113,33,False,True
5,125,35,False,True
6,135,37,False,True
7,140,45,False,True
8,146,47,False,True
9,147,51,False,True
10,146,52,False,True
11,157,58,True,True
12,166,60,True,True
13,162,65,True,True
14,171,68,True,True
15,164,69,True,True
16,166,71,True,True
17,172,71,True,True
18,159,70,True,True
19,155,71,True,True
20,150,75,False,True
21,153,73,True,True
22,160,67,True,True
23,158,70,True,True
